   50/2999     1.41G   0.04533   0.01815         0   0.06348        32       416    0.7479    0.5957    0.6555    0.3684    0.0551  0.007528         0
   51/2999     1.41G   0.04445   0.01822         0   0.06267        30       416    0.7485    0.5824    0.6624    0.3558   0.05262  0.007462         0
   52/2999     1.41G   0.04476   0.01833         0   0.06309        21       416    0.8672    0.5435    0.6653    0.3751   0.05162    0.0073         0
   53/2999     1.41G     0.044   0.01777         0   0.06177        26       416     0.662    0.6087    0.6001    0.3386   0.05368  0.007913         0
   54/2999     1.41G   0.04338   0.01774         0   0.06111        26       416    0.8399    0.6174     0.698    0.3795   0.05132  0.007137         0
   55/2999     1.41G   0.04377   0.01736         0   0.06113        25       416    0.8299    0.5957    0.6795    0.3868   0.05635   0.00739         0
   56/2999     1.41G   0.04386   0.01767         0   0.06153        26       416    0.7231    0.5391    0.5885    0.2955   0.05407   0.00794         0
   57/2999     1.41G   0.04438   0.01807         0   0.06245        33       416    0.6643    0.5852    0.5845    0.3507   0.05582   0.00748         0
   58/2999     1.41G   0.04421   0.01763         0   0.06183        24       416    0.7844    0.6168    0.6739    0.3694   0.05549  0.007421         0
   59/2999     1.41G   0.04325   0.01736         0   0.06061        23       416     0.823    0.5478    0.6529    0.3516   0.05399  0.007555         0
   60/2999     1.41G   0.04385   0.01759         0   0.06143        26       416    0.7362    0.5824    0.6487    0.3338   0.05437  0.007455         0
   61/2999     1.41G   0.04258   0.01745         0   0.06003        27       416    0.6904    0.6302    0.6709    0.3526   0.05776  0.007491         0
   62/2999     1.41G   0.04231   0.01759         0    0.0599        26       416    0.7756    0.6174    0.6819    0.3549   0.05387  0.007285         0
   63/2999     1.41G   0.04252   0.01736         0   0.05988        28       416    0.7499    0.6261    0.6774    0.3999    0.0546  0.007362         0
   64/2999     1.41G   0.04291   0.01712         0   0.06003        33       416    0.7394    0.6565    0.6777     0.375   0.05354  0.007382         0
   65/2999     1.41G   0.04294   0.01723         0   0.06016        25       416    0.7971       0.6    0.6702    0.3464    0.0523  0.007481         0
   66/2999     1.41G    0.0419   0.01746         0   0.05936        32       416    0.8457    0.6434    0.7137    0.3879   0.05558  0.006958         0
   67/2999     1.41G   0.04172    0.0176         0   0.05932        21       416     0.788    0.6301    0.6777    0.3498    0.0571  0.007412         0
   68/2999     1.41G   0.04212   0.01671         0   0.05883        19       416    0.7197    0.6478    0.6791    0.3791   0.05917  0.007352         0
   69/2999     1.41G   0.04198   0.01722         0    0.0592        29       416    0.8118    0.6435    0.7117    0.4173   0.05374  0.007036         0
   70/2999     1.41G   0.04218   0.01746         0   0.05964        23       416    0.7897    0.6043    0.6837    0.3952   0.05423  0.007259         0
   71/2999     1.41G   0.04231   0.01696         0   0.05927        29       416    0.7261    0.6478    0.6638    0.3776   0.05297  0.007262         0
   72/2999     1.41G   0.04186   0.01717         0   0.05903        28       416    0.7634    0.5652    0.6528    0.3867   0.05612  0.007301         0
   73/2999     1.41G   0.04065     0.017         0   0.05765        33       416    0.8421     0.626    0.7122    0.3841   0.05483  0.007138         0
   74/2999     1.41G   0.04054   0.01668         0   0.05722        35       416    0.7038    0.6826    0.6739    0.3646   0.05245  0.007444         0
   75/2999     1.41G   0.04093   0.01642         0   0.05735        29       416    0.7933    0.6522    0.7091    0.3992    0.0529  0.007321         0
   76/2999     1.41G   0.04057   0.01664         0   0.05722        23       416    0.7244     0.687    0.6984     0.421   0.05294  0.007236         0
   77/2999     1.41G   0.04118    0.0168         0   0.05799        33       416    0.8065    0.6174    0.6833    0.4082   0.05551  0.007172         0
   78/2999     1.41G   0.04029   0.01693         0   0.05722        31       416    0.7917    0.5957    0.6837     0.409   0.05175  0.007472         0
   79/2999     1.41G   0.03947    0.0165         0   0.05597        31       416    0.7704    0.6304    0.6713    0.3555   0.05515  0.007256         0
   80/2999     1.41G   0.04035   0.01683         0   0.05719        31       416    0.7887     0.587    0.6655    0.3629   0.05503  0.007495         0
   81/2999     1.41G   0.04037   0.01691         0   0.05729        20       416    0.7947    0.5652    0.6573    0.3789    0.0512  0.007435         0
   82/2999     1.41G   0.04024   0.01651         0   0.05675        22       416    0.8123    0.5647    0.6785    0.4145   0.05222  0.007093         0
   83/2999     1.41G   0.03969   0.01665         0   0.05633        25       416    0.6382    0.5913    0.6297    0.3705   0.05335  0.007718         0
   84/2999     1.41G   0.03992   0.01659         0   0.05651        31       416    0.7075    0.6739     0.678    0.3744   0.05412  0.007245         0
   85/2999     1.41G   0.03999   0.01632         0   0.05631        31       416    0.8205    0.6561    0.7017    0.3922    0.0544  0.007079         0
   86/2999     1.41G   0.03929   0.01664         0   0.05593        28       416    0.8238      0.63    0.6854    0.3913   0.05521  0.007206         0
   87/2999     1.41G   0.03961   0.01656         0   0.05617        31       416    0.8175    0.6435    0.7107    0.4177    0.0539   0.00697         0
   88/2999     1.41G   0.03865   0.01621         0   0.05486        33       416    0.8182     0.626    0.6972    0.4009   0.05644   0.00731         0
   89/2999     1.41G   0.03902   0.01619         0    0.0552        19       416    0.7336    0.6478     0.682    0.4153   0.05248  0.007362         0
